scenario_id,suite_name,master_seed,scenario_seed,repetitions,lag_count,sample_size,H,zeta,sigma0,a,C_K,C_S,delta,radius,identifiability_score,lower,upper,empirical_hit_rate,empirical_hit_rate_se,gaussian_hit_rate
a82896f736c3,default,12345,184892284942019,1000,20,500,0.6,0.5,1.0,0.5,100.0,1.0,0.1,0.7991916272891656,21.911580966316063,46.06856354120016,232.78072333470203,1.0,0.0,1.0
a82896f736c3,default,12345,184892284942019,1000,20,500,0.6,0.5,1.0,0.5,100.0,1.0,0.2,1.1156633345897344,30.588342835789042,32.893207227840485,319.4397295715983,1.0,0.0,1.0
5a428aa3318e,default,12345,99241840292238,1000,20,500,0.6,1.0,1.0,0.5,100.0,1.0,0.05,0.5695489178350956,37.41797342235346,31.195511888166646,98.52599272709855,1.0,0.0,1.0
5a428aa3318e,default,12345,99241840292238,1000,20,500,0.6,1.0,1.0,0.5,100.0,1.0,0.1,0.7991916272891656,52.5049387907567,24.532456551426986,123.9605175905068,1.0,0.0,1.0
5a428aa3318e,default,12345,99241840292238,1000,20,500,0.6,1.0,1.0,0.5,100.0,1.0,0.2,1.1156633345897344,73.29635733599937,17.516308630556843,170.10821879667108,1.0,0.0,1.0
5d6b45fb79f5,default,12345,102715316992501,1000,20,500,0.6,2.0,1.0,0.5,100.0,1.0,0.05,0.5695489178350956,93.22574590105157,16.612250983505156,52.467115316111446,1.0,0.0,1.0
5d6b45fb79f5,default,12345,102715316992501,1000,20,500,0.6,2.0,1.0,0.5,100.0,1.0,0.1,0.7991916272891656,130.81446253134578,13.064037126085173,66.01152235106751,1.0,0.0,1.0
5d6b45fb79f5,default,12345,102715316992501,1000,20,500,0.6,2.0,1.0,0.5,100.0,1.0,0.2,1.1156633345897344,182.61565123664508,9.32779421342744,90.58612133494906,1.0,0.0,1.0
5c7596c63684,default,12345,101660110501508,1000,20,1000,0.6,0.5,1.0,0.5,100.0,1.0,0.05,0.5695489178350956,22.083546367302837,58.58086077142879,185.0182001502066,1.0,0.0,1.0
5c7596c63684,default,12345,101660110501508,1000,20,1000,0.6,0.5,1.0,0.5,100.0,1.0,0.1,0.7991916272891656,30.987654975600346,46.06856354120016,232.78072333470203,1.0,0.0,1.0
5c7596c63684,default,12345,101660110501508,1000,20,1000,0.6,0.5,1.0,0.5,100.0,1.0,0.2,1.1156633345897344,43.258449288890766,32.893207227840485,319.4397295715983,1.0,0.0,1.0
b00222c2bd69,default,12345,193523219610985,1000,20,1000,0.6,1.0,1.0,0.5,100.0,1.0,0.05,0.5695489178350956,52.917005490408286,31.195511888166646,98.52599272709855,1.0,0.0,1.0
b00222c2bd69,default,12345,193523219610985,1000,20,1000,0.6,1.0,1.0,0.5,100.0,1.0,0.1,0.7991916272891656,74.25319652945734,24.532456551426986,123.9605175905068,1.0,0.0,1.0
b00222c2bd69,default,12345,193523219610985,1000,20,1000,0.6,1.0,1.0,0.5,100.0,1.0,0.2,1.1156633345897344,103.65670261711503,17.516308630556843,170.10821879667108,1.0,0.0,1.0
199ff205a832,default,12345,28174750951474,1000,20,1000,0.6,2.0,1.0,0.5,100.0,1.0,0.05,0.5695489178350956,131.8411142156151,16.612250983505156,52.467115316111446,1.0,0.0,1.0
199ff205a832,default,12345,28174750951474,1000,20,1000,0.6,2.0,1.0,0.5,100.0,1.0,0.1,0.7991916272891656,184.9995870663763,13.064037126085173,66.01152235106751,1.0,0.0,1.0
199ff205a832,default,12345,28174750951474,1000,20,1000,0.6,2.0,1.0,0.5,100.0,1.0,0.2,1.1156633345897344,258.25753068045856,9.32779421342744,90.58612133494906,1.0,0.0,1.0
c2b22e9d692b,default,12345,214070542035243,1000,20,5000,0.6,0.5,1.0,0.5,100.0,1.0,0.05,0.5695489178350956,49.380310861557675,58.58086077142879,185.0182001502066,1.0,0.0,1.0
c2b22e9d692b,default,12345,214070542035243,1000,20,5000,0.6,0.5,1.0,0.5,100.0,1.0,0.1,0.7991916272891656,69.29050298875195,46.06856354120016,232.78072333470203,1.0,0.0,1.0
c2b22e9d692b,default,12345,214070542035243,1000,20,5000,0.6,0.5,1.0,0.5,100.0,1.0,0.2,1.1156633345897344,96.72883321118718,32.893207227840485,319.4397295715983,1.0,0.0,1.0
ceb60e54989c,default,12345,227281319794844,1000,20,5000,0.6,1.0,1.0,0.5,100.0,1.0,0.05,0.5695489178350956,118.32602144228252,31.195511888166646,98.52599272709855,1.0,0.0,1.0
