ambient_dim,intrinsic_dim,sample_size,epsilon,coupling,mean_spectral_radius,max_spectral_radius,mean_inverse_norm,max_inverse_norm,min_spectral_gap
12,2,512,0.4,yy,0.61519237,0.646445,2.60382923,2.82841424,0.353555
12,2,512,0.5,xy,0.53847651,0.56590064,2.1687116,2.30362005,0.43409936
12,2,512,0.5,xx,0.5474151,0.59162559,2.21275509,2.44873329,0.40837441
12,2,512,0.5,yy,0.54061827,0.5737547,2.18027012,2.34606693,0.4262453
12,2,512,0.65,xy,0.44317903,0.47122161,1.79705395,1.89115142,0.52877839
12,2,512,0.65,xx,0.4521766,0.49831359,1.82735125,1.99327702,0.50168641
12,2,512,0.65,yy,0.44483237,0.47813447,1.80326191,1.91620243,0.52186553
12,2,512,0.8,xy,0.3655213,0.39244691,1.57679967,1.64594669,0.60755309
12,2,512,0.8,xx,0.37417144,0.41913505,1.59910837,1.72157056,0.58086495
12,2,512,0.8,yy,0.36684594,0.39837048,1.58063298,1.66215247,0.60162952
