ambient_dim,intrinsic_dim,sample_size,epsilon,coupling,mean_spectral_radius,max_spectral_radius,mean_operator_norm,max_operator_norm,mean_inverse_norm,max_inverse_norm,min_spectral_gap
12,2,64,0.4,xy,0.61601471,0.66818408,0.61601471,0.66818408,2.62017685,3.01371913,0.33181592
12,2,64,0.4,xx,0.64837792,0.73155337,0.64837792,0.73155337,2.87885478,3.72513528,0.26844663
12,2,64,0.4,yy,0.66365882,0.76033433,0.66365882,0.76033433,3.03949276,4.17247904,0.23966567
12,2,64,0.8,xy,0.36563311,0.43333253,0.36563311,0.43333253,1.58033312,1.76470338,0.56666747
12,2,64,0.8,xx,0.39188074,0.48398874,0.39188074,0.48398874,1.65135289,1.9379422,0.51601126
12,2,64,0.8,yy,0.40959059,0.50908204,0.40959059,0.50908204,1.70846744,2.03700025,0.49091796
12,2,128,0.05,xy,0.94590163,0.95341439,0.94590163,0.95341439,18.60135461,21.46585806,0.04658561
12,2,128,0.05,xx,0.96484293,0.97739039,0.96484293,0.97739039,29.01098223,44.22898225,0.02260961
12,2,128,0.05,yy,0.96433675,0.97461665,0.96433675,0.97461665,28.82353771,39.39590679,0.02538335
12,2,128,0.1,xy,0.89339089,0.9068835,0.89339089,0.9068835,9.42867052,10.73923517,0.0931165
12,2,128,0.1,xx,0.9114612,0.93686004,0.9114612,0.93686004,11.45889788,15.83783028,0.06313996
12,2,128,0.1,yy,0.91307011,0.93684359,0.91307011,0.93684359,11.71246409,15.83370659,0.06315641
12,2,128,0.2,xy,0.79489596,0.81906821,0.79489596,0.81906821,4.89915701,5.52694457,0.18093179
12,2,128,0.2,xx,0.81349621,0.85854723,0.81349621,0.85854723,5.42402684,7.06949742,0.14145277
12,2,128,0.2,yy,0.81719651,0.86301766,0.81719651,0.86301766,5.54610418,7.30021094,0.13698234
12,2,128,0.4,xy,0.62189051,0.65675947,0.62189051,0.65675947,2.65445574,2.91340885,0.34324053
12,2,128,0.4,xx,0.64106192,0.70946115,0.64106192,0.70946115,2.80687916,3.44188043,0.29053885
12,2,128,0.4,yy,0.64642758,0.71887357,0.64642758,0.71887357,2.85523243,3.55711846,0.28112643
12,2,128,0.8,xy,0.37310254,0.40730644,0.37310254,0.40730644,1.5977728,1.68721252,0.59269356
12,2,128,0.8,xx,0.38929506,0.46537276,0.38929506,0.46537276,1.64249905,1.8704621,0.53462724
12,2,128,0.8,yy,0.39678497,0.48241614,0.39678497,0.48241614,1.66527984,1.93205407,0.51758386
